Family,SpeciesName,WoodDensity,Reference,,,,,,
Clusiaceae,Chrysochlamy eclipes,0.507,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sapotaceae,Chrysophyllu argenteum,0.736,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Polygonaceae,Coccoloba manzinellens,0.716,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Boraginaceae,Cordia alliodora,0.455,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Boraginaceae,Cordia bicolor,0.373,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rubiaceae,Coussarea curvigemmia,0.622,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Euphorbiacea,Croton billbergianu,0.478,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sapindaceae,Cupania seemannii,0.665,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Araliaceae,Dendropanax arboreus,0.411,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Annonaceae,Desmopsis panamensis,0.536,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Euphorbiacea,Drypetes standleyi,0.618,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Erythrina costaricensi,0.5,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Erythroxylac,Erythroxylum macrophyllum,0.643,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Erythroxylac,Erythroxylum panamense,0.703,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myrtaceae,Eugenia coloradoensi,0.693,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myrtaceae,Eugenia galalonensis,0.636,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myrtaceae,Eugenia nesiotica,0.732,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myrtaceae,Eugenia oerstediana,0.656,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rubiaceae,Faramea occidentalis,0.609,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Ficus tonduzii,0.357,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Clusiaceae,Garcinia intermedia,0.654,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Clusiaceae,Garcinia madruno,0.649,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Nyctaginacea,Guapira standleyana,0.511,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Meliaceae,Guarea bullata,0.668,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Meliaceae,Guarea guidonia,0.56,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Annonaceae,Guatteria dumetorum,0.446,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sterculiacea,Guazuma ulmifolia,0.495,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rubiaceae,Guettarda foliacea,0.618,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Lecythidacea,Gustavia superba,0.612,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Flacourtiace,Hasseltia floribunda,0.565,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Olacaceae,Heisteria concinna,0.719,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sterculiacea,Herrania purpurea,0.308,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Euphorbiacea,Hieronyma alchorneoide,0.585,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Chrysobalana,Hirtella triandra,0.606,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Violaceae,Hybanthus prunifolius,0.58,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Mim,Inga acuminata,0.321,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Mim,Inga goldmanii,0.557,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Mim,Inga marginata,0.486,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Mim,Inga nobilis,0.645,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Mim,Inga sapindoides,0.612,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Mim,Inga umbellifera,0.665,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Bignoniaceae,Jacaranda copaia,0.374,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Flacourtiace,Lacistema aggregatum,0.558,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Apocynaceae,Lacmellea panamensis,0.502,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Flacourtiace,Laetia thamnia,0.727,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Chrysobalana,Licania hypoleuca,0.836,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Chrysobalana,Licania platypus,0.682,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Flacourtiace,Lindackeria laurina,0.693,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Lonchocarpus heptaphyllus,0.666,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Tiliaceae,Luehea seemannii,0.572,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Maquira guianensis,0.643,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Melastomatac,Miconia affinis,0.57,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Melastomatac,Miconia argentea,0.697,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Annonaceae,Mosannona garwoodii,0.73,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Melastomatac,Mouriri myrtilloides,0.788,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Lauraceae,Nectandra cissiflora,0.421,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Lauraceae,Ocotea cernua,0.61,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Lauraceae,Ocotea puberula,0.389,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Lauraceae,Ocotea whitei,0.426,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Ochnaceae,Ouratea lucens,0.802,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rubiaceae,Palicourea guianensis,0.32,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rubiaceae,Pentagonia macrophylla,0.454,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Perebea xanthochyma,0.623,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Simaroubacea,Picramnia latifolia,0.699,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Platymiscium pinnatum,0.761,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Platypodium elegans,0.703,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Poulsenia armata,0.315,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sapotaceae,Pouteria reticulata,0.761,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Cae,Prioria copaifera,0.391,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Burseraceae,Protium costaricense,0.452,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Burseraceae,Protium panamense,0.447,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Burseraceae,Protium tenuifolium,0.586,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Pterocarpus rohrii,0.496,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Bombacaceae,Quararibea asterolepis,0.468,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Simaroubacea,Quassia amara,0.527,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rubiaceae,Randia armata,0.643,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Violaceae,Rinorea sylvatica,0.673,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Simaroubacea,Simarouba amara,0.39,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Monimiaceae,Siparuna pauciflora,0.458,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Elaeocarpace,Sloanea terniflora,0.815,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Sorocea affinis,0.646,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Anacardiacea,Spondias radlkoferi,0.363,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myrsinaceae,Stylogyne turbacensis,0.569,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Swartzia simplex_var.,0.773,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Pap,Swartzia simplex_var.,0.784,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Clusiaceae,Symphonia globulifera,0.545,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Bignoniaceae,Tabebuia guayacan,0.79,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Bignoniaceae,Tabebuia rosea,0.489,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Apocynaceae,Tabernaemont arborea,0.538,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Fabaceae:Cae,Tachigali versicolor,0.582,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sapindaceae,Talisia nervosa,0.663,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Sapindaceae,Talisia princeps,0.725,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Combretaceae,Terminalia oblonga,0.634,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Burseraceae,Tetragastris panamensis,0.589,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Burseraceae,Trattinnicki aspera,0.439,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Meliaceae,Trichilia pallida,0.573,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Meliaceae,Trichilia tuberculata,0.692,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Polygonaceae,Triplaris cumingiana,0.529,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Trophis caucana,0.475,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Moraceae,Trophis racemosa,0.631,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Staphyleacea,Turpinia occidentalis,0.407,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Annonaceae,Unonopsis pittieri,0.428,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myristicacea,Virola sebifera,0.487,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Myristicacea,Virola surinamensis,0.407,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Annonaceae,Xylopia macrantha,0.84,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rutaceae,Zanthoxylum acuminatum,0.579,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rutaceae,Zanthoxylum ekmanii,0.435,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Rutaceae,Zanthoxylum panamense,0.552,"Wright et al., 2010. Functional traits and the growth_mortality trade-off in tropical trees. Ecology 91:3664_3674.",,,,,,
Caesalpiniaceae,Afzelia bipindensis,0.666,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Apocynaceae,Alstonia boonei,0.407,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Fabaceae,Angylocalyx pynaertii,0.7,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Annickia chlorantha,0.482,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Rhizophoraceae,Anopyxis klaineana,0.648,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Sapotaceae,Baillonella toxisperma,0.693,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Lauraceae,Beilschmiedia congolana,0.572,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Sapindaceae,Blighia welwitschii,0.717,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Rhizophoraceae,Cassipourea spp.,0.524,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Ulmaceae,Celtis adolfi-friderici,0.67,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Ulmaceae,Celtis mildbraedii,0.64,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Cleistopholis glauca,0.443,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Cleistopholis patens,0.297,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Euphorbiaceae,Discoglypremna caloneura,0.412,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Euphorbiaceae,Drypetes gossweileri,0.668,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
euphorbiaceae,Drypetes spp.,0.643,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Duguetia confinis,0.625,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Meliaceae,Entandrophragma cylindricum,0.613,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Sterculiaceae,Eribroma oblongum,0.461,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Caesalpiniaceae,Erythrophleum suaveolens,0.994,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Bignoniaceae,Fernandoa adolfi-friderici,0.502,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Apocynaceae,Funtumia africana,0.413,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Meliaceae,Guarea thompsonii,0.452,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Phyllanthaceae,Keayodendron bridelioides,0.628,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Sapindaceae,Lecaniodiscus cupanioides,0.533,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Sterculiaceae,Mansonia altissima,0.551,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Bignoniaceae,Markhamia tomentosa,0.461,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Fabaceae,Millettia spp.,0.797,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Olacaceae,Ongokea gore,0.749,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Fabaceae,Pericopsis elata,0.61,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Ixonanthaceae,Phyllocosmus africanus,0.729,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Mimosaceae,Piptadeniastrum africanum,0.632,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Polyalthia suaveolens,0.56,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Apocynaceae,Rauvolfia caffra,0.41,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Anacardiaceae,Sorindeia spp.,0.679,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Bignoniaceae,Spathodea campanulata,0.5,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Olacaceae,Strombosia pustulata,0.657,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Myrtaceae,Syzygium staudtii,0.557,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Combretaceae,Terminalia superba,0.596,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Caesalpiniaceae,Tessmannia africana,0.824,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Rubiaceae,Tricalysia spp.,0.537,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Meliaceae,Trichilia monadelpha,0.485,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Malvaceae,Triplochiton scleroxylon,0.359,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Xylopia chrysophylla,0.54,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Xylopia cupularis,0.738,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Xylopia hypolampra,0.659,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
Annonaceae,Xylopia phloiodora,0.527,"Fayolle et al., 2013. Tree allometry in Central Africa: Testing the validity of pantropical multi-species allometric equations for estimating biomass and carbon stocks",,,,,,
NA,Fagus sylvatica,0.409,"Herann et al., 2012. Effects of moisture, temperature and decomposition stage on respirational carbon loss from coarse woody debris (CWD) of important European tree species",,,,,,
NA,Picea abies,0.391,"Herann et al., 2012. Effects of moisture, temperature and decomposition stage on respirational carbon loss from coarse woody debris (CWD) of important European tree species",,,,,,
NA,Pinus sylvestris,0.366,"Herann et al., 2012. Effects of moisture, temperature and decomposition stage on respirational carbon loss from coarse woody debris (CWD) of important European tree species",,,,,,
NA,Alphitonia zizyphoides,0.5,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Artocarpus altilis,0.32,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Barringtonia asiatica,0.39,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Bischofia javanica,0.52,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Cananga odorata,0.33,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Cocos nucifera,,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Diospyros samoensis,0.71,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Dysoxylum samoense,0.48,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Ficus scabra,0.43,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Hibiscus tiliaceus,0.38,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Macaranga harveyana,0.36,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Morinda citrifolia,0.48,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Myristica inutilis,0.5,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Neonauclea forsteri,0.62,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Pipturus argenteus,0.32,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
NA,Pisonia grandis,0.27,"Wedd et al., 2013. Factors Affecting Tropical Tree Damage and Survival after Catastrophic Wind Disturbance",,,,,,
